user	# of sessions	tbg vs SAT	p-value	ptbg vs SAT	p-value
2014012173	3	0.712394633672	0.495221279855	0.714133547786	0.493641831192
2014013072	5	0.173340350392	0.780406490067	0.178811216792	0.773549603916
2014013076	2	1.0	0.0	1.0	0.0
2013013014	3	0.999696900344	0.0156746846664	0.999695988537	0.0156982450379
2013011103	5	0.892272105695	0.0417523433995	0.895222566735	0.0400672381061
2012011297	4	0.831933913367	0.168066086633	0.833064839467	0.166935160533
2011011235	22	0.352535358526	0.107578953015	0.351437746475	0.108755164941
2011011239	19	0.387809405329	0.10087909166	0.382076995566	0.106460397746
2014620840	4	0.734431712079	0.265568287921	0.761746984074	0.238253015926
2014012337	1	nan	nan	nan	nan
2011011254	9	0.4424239921	0.233075575226	0.442936927348	0.232469845779
2012012731	2	-1.0	0.0	-1.0	0.0
2014012991	4	-0.0932707353486	0.906729264651	-0.101419448969	0.898580551031
2013011392	3	0.75598924308	0.454312412495	0.759196767248	0.451184025067
2013011395	10	0.553517241228	0.0969326817378	0.554926778845	0.0959072187195
2011011268	10	0.502258601675	0.139038337841	0.493044507288	0.147621595147
2013011400	5	0.335771181455	0.580657707001	0.330968615384	0.586422725724
2013012946	1	nan	nan	nan	nan
2013010773	7	0.331582491778	0.467516048658	0.335341264583	0.462169142365
2011012703	10	0.0858626314728	0.813554094996	0.0818703367431	0.822104223458
2014013409	7	0.435046325413	0.329302486089	0.426810096454	0.339576759746
2013011429	6	0.521591021999	0.288564761991	0.522246460955	0.287849415138
2014010728	10	0.814178231989	0.00414082313462	0.814077456415	0.00414927495073
2014010219	6	0.136417376464	0.796643278571	0.134947862159	0.798806969493
2011010412	7	-0.0989301768448	0.832871581532	-0.101061661326	0.829307200593
2013011437	1	nan	nan	nan	nan
2014011004	7	0.23597733106	0.610452622031	0.234501725414	0.612752654493
