user,#samples,dlength-slope,dlength-intercept,dlength-r,dheight-slope,dheight-intercept,dheight-r
2014012173,60,0.0013072688394,45.3316229519,200470.091629,0.00144120083752,46.8749078615,210820.00268
2014013072,52,-0.00213985459489,56.1028433224,150376.992637,0.00301512758334,42.8346080857,150303.858015
2014013076,32,-0.00475056570078,68.6572161347,139007.374254,0.00611515068923,44.2737084032,139496.488273
2013013014,62,0.00450070442468,22.4690014053,64304.8629131,0.00589636991133,19.4731925077,128429.308174
2013011103,53,0.000680496416574,33.8209314545,69361.8923639,0.00121461600471,32.1461556563,69243.3402642
2012011297,48,-0.000407722978115,37.7533330173,92635.5865237,-0.00404828278428,49.286095361,89151.5598414
2011011235,134,0.00114644489033,20.5412346175,160688.897947,0.00223732702153,17.0652754149,165419.495546
2011011239,106,0.00151447935918,35.2268005325,280348.329774,0.000521324399309,37.6415046516,295045.517728
2014620840,34,0.00380699112704,47.7760827426,96665.0365568,0.00125184726842,53.5684414617,103187.064566
2014012337,41,-0.00071187517798,36.5560315751,59636.1528195,-0.00307611878629,43.4882351026,58196.3161192
2011011254,85,0.000341028140881,49.9602119749,284075.174795,0.00414125247647,38.3573707543,267978.308404
2012012731,31,0.00217084682175,68.1501408394,263579.651593,0.00261912986156,70.6976938406,294121.331095
2014012991,38,-0.000146766969953,33.1862220432,72795.0368212,0.00677785389718,15.2181938249,68672.2645297
2013011392,47,-2.53311629062e-05,45.9884933231,64908.7859019,-0.0011158142351,49.6408684026,64368.9422049
2013011395,65,0.00186152161943,45.6005436848,169930.486829,0.00423826074432,40.5222204859,186926.478168
2011011268,81,0.00048807039605,16.3376906128,24021.0550535,0.000107002807242,17.8995616717,25773.9953954
2013011400,52,0.00203617324133,23.6866761057,121297.735702,0.0016355582808,24.5914262939,125419.88188
2013012946,55,0.00292262564423,49.1874565341,155571.48883,0.00978379489853,25.3338556591,131040.636684
2013012949,45,0.00221036004719,25.6125597687,38200.8036832,0.000154644494187,28.5674374958,38790.3294804
2013010775,46,0.000661680433785,21.2817231919,102032.451093,0.00605408661638,4.38611828008,90491.5126915
2011012703,90,0.000442765507958,50.9120281759,572622.135149,0.00782024137421,29.8161038754,525052.540976
2014013409,43,0.00196990374973,53.9379627835,214825.641464,0.0150314078684,22.2295841245,192771.301679
2013011429,59,0.00825679098509,29.1926402704,255550.392355,0.0147129020138,-3.6813435641,260868.037491
2014010728,75,-0.000290794337061,48.6138184623,231576.915155,-0.000346552033913,48.7196643429,232048.431087
2014010219,49,-0.000208656026194,17.7571089488,12411.0298404,-0.000516226104645,18.2968723587,12652.5238909
2011010412,73,0.000274395146756,30.5898969338,94602.2554765,0.00146009780618,26.6350704479,92791.7757218
2013011437,37,0.00420074606062,51.7692926323,214706.438834,-0.0040482327077,77.7557911632,304186.813919
2014011004,83,0.000280394329171,20.3009221965,50530.7691455,-0.000324755426905,21.974140315,50568.7637353
2013010773,45,-0.000432463420279,41.2413548008,47411.0211117,0.00107886059542,35.8263446747,47187.8923473
